,Textbook,Score,Author,Field
28,Abn_Sue_07_Transgender_v2.docx,-1.702930952,Sue,Abn
29,Abn_Sue_08_Transgender_v2.docx,-1.199746,Sue,Abn
30,Abn_Sue_09_Transgender_v2.docx,-0.2463555,Sue,Abn
31,Abn_Sue_10_Transgender_v2.docx,-0.030917561,Sue,Abn
32,Abn_Sue_11_Transgender.docx,0.475537054,Sue,Abn
33,Abn_Whitbourne_04_Transgender.docx,-1.115838,Whitbourne,Abn
34,Abn_Whitbourne_05_Transgender_v2.docx,-0.210458,Whitbourne,Abn
35,Abn_Whitbourne_06_Transgender.docx,1.53922,Whitbourne,Abn
36,Abn_Whitbourne_07_Transgender_v2.docx,0.80505,Whitbourne,Abn
37,Abn_Whitbourne_08_Transgender.docx,1.059106875,Whitbourne,Abn
38,Devo_Berger_05_Transgender.docx,0.534619333,Berger,Devo
39,Devo_Berger_06_Transgender.docx,0.7794,Berger,Devo
40,Devo_Berger_07_Transgender.docx,0.678986,Berger,Devo
41,Devo_Berger_08_Transgender.docx,0.439050793,Berger,Devo
42,Devo_Berger_09_Transgender.docx,0.493844118,Berger,Devo
43,Devo_Berger_10_Transgender.docx,0.304058704,Berger,Devo
44,Devo_Berk_08_Transgender.docx,0.643227615,Berk,Devo
45,Devo_Bornstein_02_Transgender.docx,0.63729,Bornstein,Devo
46,Devo_Bornstein_04_Transgender_v2.docx,0.315241111,Bornstein,Devo
47,Devo_Bornstein_05_Transgender_v2.docx,1.485668462,Bornstein,Devo
48,Devo_Bornstein_07_Transgender.docx,1.493201094,Bornstein,Devo
49,Devo_Feldman_03_Transgender.docx,1.005606667,Feldman,Devo
50,Devo_Feldman_04_Transgender_v2.docx,0.48354027,Feldman,Devo
51,Devo_Feldman_05_Transgender_v2.docx,0.762567429,Feldman,Devo
52,Devo_Feldman_06_Transgender_v2.docx,0.385767808,Feldman,Devo
53,Devo_Feldman_07_Transgender.docx,0.421278633,Feldman,Devo
54,Devo_Feldman_08_Transgender.docx,0.853922946,Feldman,Devo
55,Devo_Gonzalez-Mena_10_Transgender.docx,0.0,Gonzalez-Mena,Devo
56,Devo_Gonzalez-Mena_11_Transgender.docx,1.798542941,Gonzalez-Mena,Devo
57,Devo_Kail_02_Transgender.docx,0.393899643,Kail,Devo
58,Devo_Kail_05_Transgender.docx,0.81565,Kail,Devo
59,Devo_Kail_06_Transgender.docx,0.4100757,Kail,Devo
60,Devo_Kail_07_Transgender.docx,0.452515785,Kail,Devo
61,Devo_Miller_06_Transgender.docx,1.67507,Miller,Devo
62,Devo_Newman_08_Transgender.docx,1.85322,Newman,Devo
63,Devo_Newman_09_Transgender.docx,1.099925385,Newman,Devo
64,Devo_Newman_10_Transgender_v2.docx,1.323716625,Newman,Devo
65,Devo_Newman_11_Transgender.docx,1.186817959,Newman,Devo
66,Devo_Newman_12_Transgender.docx,1.23302125,Newman,Devo
67,Devo_Newman_13_Transgender.docx,1.489170049,Newman,Devo
68,Devo_Santrock_11_Transgender.docx,0.533202,Santrock,Devo
69,Devo_Santrock_12_Transgender.docx,0.638333818,Santrock,Devo
70,Devo_Santrock_13_Transgender.docx,0.395172063,Santrock,Devo
71,Devo_Santrock_14_Transgender.docx,0.318752791,Santrock,Devo
72,Devo_Santrock_15_Transgender_V2.docx,-0.574625,Santrock,Devo
73,Devo_Santrock_16_Transgender.docx,0.504638421,Santrock,Devo
74,Devo_Sigelman_05_Transgender.docx,1.0563064,Sigelman,Devo
75,Devo_Sigelman_07_Transgender.docx,0.093093714,Sigelman,Devo
76,Devo_Sigelman_08_Transgender.docx,0.315978919,Sigelman,Devo
77,Devo_Sigelman_09_Transgender.docx,0.910362321,Sigelman,Devo
78,GS_Andersen_07_Transgender_v2.docx,0.959643538,Andersen,GS
79,GS_Andersen_08_Transgender_v2.docx,0.892163831,Andersen,GS
80,GS_Andersen_09_Transgender.docx,0.991285331,Andersen,GS
81,GS_Brannon_05_Transgender_v2.docx,1.362634,Brannon,GS
82,GS_Brannon_06_Transgender.docx,1.140889298,Brannon,GS
83,GS_Brannon_07_Transgender.docx,0.61568626,Brannon,GS
84,GS_Healey_03_Transgender_v2.docx,-0.081942895,Healey,GS
85,GS_Healey_04_Transgender.docx,-0.06146675,Healey,GS
86,GS_Healey_05_Transgender.docx,0.453271735,Healey,GS
87,GS_Helgeson_03_Transgender_v2.docx,1.18499413,Helgeson,GS
88,GS_Helgeson_04_Transgender_v2.docx,0.689395455,Helgeson,GS
89,GS_Helgeson_05_Transgender.docx,0.858742762,Helgeson,GS
90,GS_Kimmel_04_Transgender_v2.docx,-0.039831913,Kimmel,GS
91,GS_Kimmel_05_Transgender_v2.docx,0.455506084,Kimmel,GS
92,GS_Kimmel_06_Transgender.docx,0.244189467,Kimmel,GS
93,GS_Newman_01_Transgender_v2.docx,0.248270696,Newman,GS
94,GS_Newman_02_Transgender_v2.docx,0.53989466,Newman,GS
95,GS_Newman_03_Transgender.docx,0.304402763,Newman,GS
96,GS_Robinson_02_Transgender.docx,0.933865541,Robinson,GS
97,GS_Robinson_03_Transgender_v2.docx,1.755322821,Robinson,GS
98,GS_Robinson_04_Transgender.docx,1.361194466,Robinson,GS
99,GS_Rothenberg_08_Transgender_v2.docx,0.03685974,Rothenberg,GS
100,GS_Rothenberg_09_Transgender_v2.docx,0.076218718,Rothenberg,GS
101,GS_Rothenberg_10_Transgender.docx,-0.268384899,Rothenberg,GS
102,GS_Wood_10_Transgender_v2.docx,1.290917285,Wood,GS
103,GS_Wood_11_Transgender_v2.docx,0.874410458,Wood,GS
104,GS_Wood_12_Transgender.docx,1.202468281,Wood,GS
105,HS_Carroll_03_Transgender.docx,0.0004328,Carroll,HS
106,HS_Carroll_04_Transgender.docx,0.681264487,Carroll,HS
107,HS_Carroll_05_Transgender.docx,0.690155,Carroll,HS
108,HS_Crooks_11_Transgender.docx,0.807768182,Crooks,HS
109,HS_Crooks_12_Transgender_v2.docx,0.65619963,Crooks,HS
110,HS_Crooks_13_Transgender.docx,0.793616023,Crooks,HS
111,HS_Greenberg_04_Transgender.docx,0.766747887,Greenberg,HS
112,HS_Greenberg_05_Transgender_v2.docx,0.558545833,Greenberg,HS
113,HS_Greenberg_06_Transgender.docx,0.761232132,Greenberg,HS
114,HS_Hock_02_Transgender.docx,1.089497925,Hock,HS
115,HS_Hock_03_Transgender.docx,1.222232222,Hock,HS
116,HS_Hock_04_Transgender.docx,0.704260777,Hock,HS
117,HS_Hyde_11_Transgender_v2.docx,0.326885234,Hyde,HS
118,HS_Hyde_12_Transgender_v2.docx,0.217243659,Hyde,HS
119,HS_Hyde_13_Transgender.docx,0.483447485,Hyde,HS
120,HS_LeVay_01_Transgender.docx,0.922946667,LeVay,HS
121,HS_LeVay_02_Transgender.docx,0.646506452,LeVay,HS
122,HS_LeVay_03_Transgender.docx,0.481414286,LeVay,HS
123,HS_Yarber_07_Transgender.docx,0.819581404,Yarber,HS
124,HS_Yarber_08_Transgender.docx,0.935154444,Yarber,HS
125,HS_Yarber_09_Transgender.docx,0.518612648,Yarber,HS
126,Intro_Bernstein_06_Transgender.docx,0.46374,Bernstein,Intro
127,Intro_Bernstein_07_Transgender_v2.docx,1.201462333,Bernstein,Intro
128,Intro_Bernstein_08_Transgender.docx,1.267753214,Bernstein,Intro
129,Intro_Bernstein_09_Transgender_v2.docx,1.064693684,Bernstein,Intro
130,Intro_Bernstein_10_Transgender.docx,1.170434091,Bernstein,Intro
131,Intro_Coon_10_Transgender_v2.docx,-0.292426547,Coon,Intro
132,Intro_Coon_11_Transgender.docx,-1.180076154,Coon,Intro
133,Intro_Coon_12_Transgender_v2.docx,0.218041739,Coon,Intro
134,Intro_Coon_13_Transgender_v2.docx,0.006422449,Coon,Intro
135,Intro_Coon_14_Transgender.docx,0.322849467,Coon,Intro
136,Intro_Griggs_01_Transgender.docx,-3.4965,Griggs,Intro
137,Intro_Griggs_04_Transgender.docx,2.68422,Griggs,Intro
138,Intro_Griggs_05_Transgender.docx,1.817464167,Griggs,Intro
139,Intro_Kalat_08_Transgender.docx,0.989536364,Kalat,Intro
140,Intro_Kalat_11_Transgender.docx,-0.075134286,Kalat,Intro
141,Intro_Morris_07_Transgender_v2.docx,1.44548875,Morris,Intro
142,Intro_Morris_09_Transgender.docx,1.537724412,Morris,Intro
143,Intro_Morris_10_Transgender.docx,1.9860192,Morris,Intro
144,Intro_Morris_11_Transgender.docx,1.3594925,Morris,Intro
145,Intro_Myers_07_Transgender.docx,0.561864194,Myers,Intro
146,Intro_Myers_08_Transgender.docx,0.433945444,Myers,Intro
147,Intro_Myers_09_Transgender.docx,1.248442364,Myers,Intro
148,Intro_Myers_10_Transgender.docx,0.361077667,Myers,Intro
149,Intro_Myers_11_Transgender.docx,1.282289248,Myers,Intro
150,Intro_Nevid_01_Transgender.docx,0.511235128,Nevid,Intro
151,Intro_Nevid_02_Transgender_v2.docx,0.665527188,Nevid,Intro
152,Intro_Nevid_03_Transgender_v2.docx,0.550807586,Nevid,Intro
153,Intro_Nevid_04_Transgender.docx,2.315960833,Nevid,Intro
154,Intro_Nevid_05_Transgender.docx,0.981902923,Nevid,Intro
155,Intro_Rathus_01_Transgender.docx,1.970281667,Rathus,Intro
156,Intro_Rathus_02_Transgender.docx,1.21537125,Rathus,Intro
157,Intro_Rathus_03_Transgender.docx,0.957166667,Rathus,Intro
158,Intro_Rathus_04_Transgender.docx,1.15239375,Rathus,Intro
159,Intro_Rathus_05_Transgender.docx,0.815660139,Rathus,Intro
160,Intro_Wade_08_Transgender_v2.docx,0.378568205,Wade,Intro
161,Intro_Wade_09_Transgender.docx,1.200242727,Wade,Intro
162,Intro_Wade_11_Transgender_v2.docx,1.6,Wade,Intro
163,Intro_Wade_12_Transgender.docx,0.734692558,Wade,Intro
164,Intro_Weiten_07_Transgender.docx,0.3163348,Weiten,Intro
165,Intro_Weiten_08_Transgender_v2.docx,0.496205714,Weiten,Intro
166,Intro_Weiten_09_Transgender_v2.docx,-1.044,Weiten,Intro
167,Intro_Weiten_10_Transgender.docx,1.01952264,Weiten,Intro
168,Neuro_Bear_03_Transgender.docx,1.51452375,Bear,Neuro
169,Neuro_Bear_04_Transgender.docx,0.635059375,Bear,Neuro
170,Neuro_Breedlove_05_Transgender.docx,0.443252,Breedlove,Neuro
171,Neuro_Breedlove_06_Transgender.docx,0.17074,Breedlove,Neuro
172,Neuro_Breedlove_07_Transgender.docx,1.67717,Breedlove,Neuro
173,Neuro_Breedlove_08_Transgender.docx,-0.438058235,Breedlove,Neuro
174,Neuro_Carlson_09_Transgender.docx,-0.717105,Carlson,Neuro
175,Neuro_Carlson_10_Transgender_v2.docx,0.36059375,Carlson,Neuro
176,Neuro_Carlson_11_Transgender_v2.docx,0.7293175,Carlson,Neuro
177,Neuro_Carlson_12_Transgender.docx,1.520660857,Carlson,Neuro
178,Neuro_Garrett_02_Transgender.docx,-0.630247143,Garrett,Neuro
179,Neuro_Garrett_03_Transgender.docx,0.65585,Garrett,Neuro
180,Neuro_Garrett_04_Transgender_v2.docx,0.019650714,Garrett,Neuro
181,Neuro_Garrett_05_Transgender.docx,0.828260244,Garrett,Neuro
182,Neuro_Haines_05_Transgender.docx,0.28704,Haines,Neuro
183,Neuro_Johnson_04_Transgender.docx,1.659546667,Johnson,Neuro
184,Neuro_Kalat_12_Transgender.docx,0.114598571,Kalat,Neuro
185,Neuro_Kolb_07_Transgender.docx,0.44019,Kolb,Neuro
186,Neuro_Pinel_07_Transgender.docx,-0.7203325,Pinel,Neuro
187,Neuro_Pinel_08_Transgender.docx,0.358436,Pinel,Neuro
188,Neuro_Pinel_09_Transgender_v2.docx,-0.17278,Pinel,Neuro
189,Neuro_Pinel_10_Transgender.docx,0.935385625,Pinel,Neuro
190,Neuro_Reisberg_06_Transgender.docx,1.487415,Reisberg,Neuro
191,Socl_Aronson_08_Transgender.docx,0.319632453,Aronson,Socl
192,Socl_Aronson_09_Transgender.docx,0.3016305,Aronson,Socl
193,Socl_Baumeister_02_Transgender.docx,1.401001905,Baumeister,Socl
194,Socl_Baumeister_04_Transgender.docx,0.689235055,Baumeister,Socl
195,Socl_Branscombe_12_Transgender.docx,1.203454878,Branscombe,Socl
196,Socl_Branscombe_13_Transgender_v2.docx,0.978982222,Branscombe,Socl
197,Socl_Branscombe_14_Transgender.docx,1.070060769,Branscombe,Socl
198,Socl_Franzoi_05_Transgender.docx,1.565250222,Franzoi,Socl
199,Socl_Franzoi_06_Transgender.docx,1.15668,Franzoi,Socl
200,Socl_Franzoi_07_Transgender.docx,0.889979239,Franzoi,Socl
201,Socl_Gilovich_02_Transgender.docx,1.160555,Gilovich,Socl
202,Socl_Gilovich_03_Transgender.docx,1.049284,Gilovich,Socl
203,Socl_Gilovich_04_Transgender.docx,0.986759556,Gilovich,Socl
204,Socl_Gruman_02_Transgender.docx,0.1507525,Gruman,Socl
205,Socl_Gruman_03_Transgender.docx,0.997468,Gruman,Socl
206,Socl_Kassin_09_Transgender.docx,0.51763,Kassin,Socl
207,Socl_Kassin_10_Transgender.docx,1.207610588,Kassin,Socl
208,Socl_Myers_10_Transgender.docx,1.047460704,Myers,Socl
209,Socl_Myers_11_Transgender.docx,1.104834815,Myers,Socl
210,Socl_Myers_12_Transgender.docx,0.926825254,Myers,Socl
211,Socl_Rogers_02_Transgender.docx,-0.002710909,Rogers,Socl
212,Socl_Rogers_03_Transgender_v2.docx,1.270228824,Rogers,Socl
213,Socl_Rogers_04_Transgender.docx,0.851556267,Rogers,Socl
214,Socl_Zastrow_08_Transgender.docx,0.378010175,Zastrow,Socl
215,Socl_Zastrow_09_Transgender.docx,0.515680937,Zastrow,Socl
216,Socl_Zastrow_10_Transgender.docx,0.79611148,Zastrow,Socl
217,Spcl_Friend_02_Transgender.docx,-0.91054,Friend,Spcl
218,Spcl_Friend_03_Transgender.docx,-1.012383333,Friend,Spcl
219,Spcl_Friend_04_Transgender.docx,-0.681806667,Friend,Spcl
220,Spcl_Friend_05_Transgender.docx,1.4715175,Friend,Spcl
221,Spcl_Gargiulo_06_Transgender.docx,1.122903077,Gargiulo,Spcl
222,Spcl_Hardman_10_Transgender.docx,0.07626,Hardman,Spcl
223,Spcl_Hardman_12_Transgender.docx,0.332341053,Hardman,Spcl
224,Spcl_Heward_10_Transgender.docx,2.5,Heward,Spcl
225,Spcl_Heward_11_Transgender.docx,-0.192698889,Heward,Spcl
226,Spcl_Kuder_05_Transgender.docx,-0.180403333,Kuder,Spcl
227,Spcl_Lewis_09_Transgender.docx,0.70178,Lewis,Spcl
228,Spcl_Overton_08_Transgender.docx,0.901461111,Overton,Spcl
229,Spcl_Smith_04_Transgender.docx,3.788695,Smith,Spcl
230,Spcl_Smith_05_Transgender.docx,1.234012857,Smith,Spcl
231,Spcl_Smith_07_Transgender.docx,0.356378846,Smith,Spcl
232,Spcl_Turnbull_04_Transgender.docx,0.72294,Turnbull,Spcl
233,Spcl_Turnbull_05_Transgender.docx,0.699331667,Turnbull,Spcl
234,Spcl_Turnbull_06_Transgender.docx,0.29992,Turnbull,Spcl
235,Spcl_Turnbull_07_Transgender.docx,1.783153333,Turnbull,Spcl
236,Spcl_Turnbull_08_Transgender.docx,1.92468,Turnbull,Spcl
237,Spcl_Vaughn_07_Transgender.docx,1.420444545,Vaughn,Spcl
