Textbook,Score
Devo_Kail_07_Autism.docx,0.448388333
Devo_Miller_06_Autism.docx,3.35473
Devo_Newman_13_Autism.docx,0.792654545
Devo_Santrock_12_Autism_v2.docx,-0.87069375
Devo_Santrock_13_Autism_v2.docx,0.012364706
Devo_Santrock_14_Autism_v2.docx,-0.457594138
Devo_Santrock_15_Autism.docx,-0.8572808
Devo_Santrock_16_Autism.docx,0.587251026
Devo_Sigelman_04_Autism_v2.docx,0.056980769
Devo_Sigelman_05_Autism.docx,0.102688125
Devo_Sigelman_06_Autism.docx,-0.010150294
Devo_Sigelman_07_Autism.docx,0.657454595
Devo_Sigelman_08_Autism.docx,0.174372195
Devo_Sigelman_09_Autism.docx,0.589811087
GS_Newman_03_Autism.docx,1.5
GS_Rothenberg_10_Autism.docx,-2.5263
GS_Wood_12_Autism.docx,0.18367
HS_Carroll_05_Autism.docx,-1.64052
HS_Crooks_11_Autism.docx,0.76952
HS_Crooks_13_Autism.docx,0.626335
HS_Hyde_13_Autism.docx,1.253075
HS_LeVay_02_Autism.docx,1.31627
HS_LeVay_03_Autism.docx,-0.9976875
HS_Yarber_09_Autism.docx,-3.372
Intro_Bernstein_06_Autism.docx,0.828678
Intro_Bernstein_07_Autism_v2.docx,0.060501667
Intro_Bernstein_08_Autism.docx,0.01959
Intro_Bernstein_09_Autism_v2.docx,2.32063
Intro_Bernstein_10_Autism.docx,1.548436875
Intro_Coon_10_Autism.docx,-0.120463333
Intro_Coon_11_Autism.docx,-2.66891
Intro_Coon_13_Autism_v2.docx,0.917396667
Intro_Coon_14_Autism.docx,0.214626667
Intro_Griggs_03_Autism.docx,1.20477
Intro_Griggs_04_Autism.docx,3.08156
Intro_Griggs_05_Autism.docx,2.32622875
Intro_Kalat_09_Autism.docx,-2.3759275
Intro_Kalat_10_Autism.docx,-0.95554
Intro_Kalat_11_Autism.docx,-1.592259375
Intro_Morris_07_Autism.docx,-2.121436
Intro_Morris_08_Autism.docx,-1.24754
Intro_Morris_09_Autism.docx,-0.826195
Intro_Morris_10_Autism.docx,-1.01403375
Intro_Morris_11_Autism.docx,0.117581667
Intro_Myers_07_Autism_v2.docx,0.370595714
Intro_Myers_08_Autism.docx,-1.940468571
Intro_Myers_09_Autism.docx,0.130961667
Intro_Myers_10_Autism.docx,-0.091496154
Intro_Myers_11_Autism.docx,0.054421714
Intro_Rathus_05_Autism.docx,1.89636
Intro_Wade_08_Autism.docx,-0.862025
Intro_Wade_12_Autism.docx,0.42129
Intro_Weiten_06_Autism.docx,3.49126
Intro_Weiten_08_Autism.docx,3.92472
Intro_Weiten_10_Autism.docx,-0.305003333
Neuro_Bear_03_Autism.docx,0.8783
Neuro_Bear_04_Autism.docx,2.200769
Neuro_Breedlove_05_Autism.docx,-0.913772857
Neuro_Breedlove_06_Autism.docx,-0.717291429
Neuro_Breedlove_07_Autism_v2.docx,-0.019843333
Neuro_Breedlove_08_Autism.docx,0.375981818
Neuro_Carlson_09_Autism.docx,-0.839460385
Neuro_Carlson_10_Autism_v2.docx,-0.217127037
Neuro_Carlson_11_Autism_v2.docx,-0.277386667
Neuro_Carlson_12_Autism.docx,-0.272891915
Neuro_Garrett_02_Autism.docx,-0.960374286
Neuro_Garrett_03_Autism.docx,-0.1315892
Neuro_Garrett_04_Autism_v2.docx,-0.583007917
Neuro_Garrett_05_Autism.docx,0.232715833
Neuro_Johnson_01_Autism.docx,-0.343447
Neuro_Johnson_02_Autism_v2.docx,0.562838
Neuro_Johnson_03_Autism.docx,0.786664091
Neuro_Johnson_04_Autism.docx,1.116302821
Neuro_Kalat_10_Autism.docx,0.67491
Neuro_Kalat_11_Autism.docx,3.57443
Neuro_Kalat_12_Autism.docx,-0.365200435
Neuro_Kolb_04_Autism.docx,-0.403736667
Neuro_Kolb_05_Autism.docx,-1.166164
Neuro_Kolb_06_Autism_v2.docx,-1.0582595
Neuro_Kolb_07_Autism.docx,0.381485789
Neuro_Pinel_07_Autism.docx,-0.559782143
Neuro_Pinel_08_Autism.docx,0.134200625
Neuro_Pinel_09_Autism.docx,-0.466425294
Neuro_Pinel_10_Autism.docx,0.03057087
Neuro_Reisberg_06_Autism.docx,1.32076
Socl_Aronson_08_Autism.docx,3.15763
Socl_Aronson_09_Autism.docx,-0.31129
Socl_Baumeister_04_Autism.docx,-1.56669875
Socl_Branscombe_14_Autism.docx,2.21459
Socl_Gilovich_02_Autism.docx,-1.222866667
Socl_Gilovich_03_Autism.docx,-2.43768
Socl_Gilovich_04_Autism.docx,-1.974333333
Socl_Gruman_03_Autism.docx,0.62194
Socl_Myers_12_Autism.docx,-1.745925
Socl_Rogers_02_Autism.docx,-0.212587273
Socl_Rogers_03_Autism.docx,-0.080734783
Socl_Rogers_04_Autism.docx,0.207365926
Socl_Zastrow_08_Autism.docx,-1.3412
Socl_Zastrow_09_Autism.docx,-1.292998333
Socl_Zastrow_10_Autism.docx,-0.87346625
Spcl_Friend_01_Autism_v2.docx,0.797391493
Spcl_Friend_02_Autism_v2.docx,1.122752056
Spcl_Friend_03_Autism_v2.docx,0.963671771
Spcl_Friend_04_Autism_v2.docx,1.1969592
Spcl_Friend_05_Autism.docx,1.040037711
Spcl_Gargiulo_02_Autism_v2.docx,0.137934293
Spcl_Gargiulo_03_Autism_v2.docx,0.300062011
Spcl_Gargiulo_04_Autism.docx,0.440645644
Spcl_Gargiulo_05_Autism_v2.docx,0.725026496
Spcl_Gargiulo_06_Autism.docx,0.041459821
Spcl_Hardman_08_Autism_v2.docx,0.309492241
Spcl_Hardman_09_Autism_v2.docx,0.457497149
Spcl_Hardman_10_Autism_v2.docx,0.556803209
Spcl_Hardman_11_Autism.docx,0.919584518
Spcl_Hardman_12_Autism.docx,1.09169939
Spcl_Heward_07_Autism.docx,-0.713812
Spcl_Heward_08_Autism_v2.docx,0.027613168
Spcl_Heward_09_Autism_v2.docx,0.605090514
Spcl_Heward_10_Autism_v2.docx,0.629268421
Spcl_Heward_11_Autism.docx,0.694160165
Spcl_Kuder_01_Autism_v2.docx,0.115068991
Spcl_Kuder_02_Autism_v2.docx,-0.213452072
Spcl_Kuder_03_Autism_v2.docx,0.218983578
Spcl_Kuder_04_Autism_v2.docx,0.197484189
Spcl_Kuder_05_Autism.docx,0.831627716
Spcl_Lewis_05_Autism.docx,-0.117558333
Spcl_Lewis_06_Autism.docx,0.461901429
Spcl_Lewis_07_Autism_v2.docx,0.838701772
Spcl_Lewis_08_Autism.docx,0.73748449
Spcl_Lewis_09_Autism.docx,1.2800675
Spcl_Overton_04_Autism.docx,-1.45875
Spcl_Overton_06_Autism.docx,0.501306429
Spcl_Overton_07_Autism.docx,1.550092308
Spcl_Overton_08_Autism.docx,1.521164516
Spcl_Smith_03_Autism_v2.docx,0.310425
Spcl_Smith_04_Autism_v2.docx,0.049735298
Spcl_Smith_05_Autism_v2.docx,0.211794751
Spcl_Smith_06_Autism_v2.docx,0.566291484
Spcl_Smith_07_Autism_v2.docx,0.663834372
Spcl_Turnbull_04_Autism_v2.docx,1.161411149
Spcl_Turnbull_05_Autism_v2.docx,0.610163772
Spcl_Turnbull_06_Autism_v2.docx,0.636602213
Spcl_Turnbull_07_Autism_v2.docx,0.987149512
Spcl_Turnbull_08_Autism.docx,0.572376106
Spcl_Vaughn_03_Autism_v2.docx,0.409645
Spcl_Vaughn_04_Autism_v2.docx,0.301314844
Spcl_Vaughn_05_Autism_v2.docx,0.184093232
Spcl_Vaughn_06_Autism_v2.docx,0.220501413
Spcl_Vaughn_07_Autism.docx,-0.53465363
